coder,response_uuid,child_hashed_id,child__age_rounded,child__gender,frame_id,visualShown,audioPlayed,event0_timestamp,parent_transcription,response_video_file,session_order,trial_num,trial_type,testtrial_type,stimulus_set,stimulus_subject,stimulus_verb,stimulus_object,stimulus_distractor,stimulus_targetutterance,stimulus_condition,informative_entities,uninformative_entities,response_exact_utterance,response_attempted_target,response_included_subject,response_included_verb,response_included_object,response_included_distractor,response_included_informative,response_included_uninformative,include_trial,exclusion_reason,trial_notes
sienna/lia,0813addf-35ee-4108-93e6-b35bd2d46c6e,B2JDAG,600,m,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_duck_ball_new.webm,,,nothing,,Order1,3,test_trial,commonground,cg_duck,duck,bounce,ball,lake,The ball bounced by the lake,commonground,BALL BOUNCE,DUCK LAKE,[NA],n,n,n,n,n,n,n,y,,
sienna/lia,0813addf-35ee-4108-93e6-b35bd2d46c6e,B2JDAG,600,m,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_bird_baby_juice.webm,,,nothing,,Order1,4,test_trial,agentpatient,ap_drink,bird,drink,juice,baby,The bird drank the juice,agent_ambig,BIRD DRINK,JUICE BABY,[points at screen] unintelligible,n,n,n,n,n,n,n,y,,
sienna/lia,0813addf-35ee-4108-93e6-b35bd2d46c6e,B2JDAG,600,m,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_dog_apple_banana.webm,,,uh oh,,Order1,5,test_trial,agentpatient,ap_eat,dog,eat,apple,banana,The dog ate the apple,patient_ambig,EAT APPLE ,DOG BANANA,UH OH [points at screen],n,n,n,n,n,n,n,y,,
sienna/lia,0813addf-35ee-4108-93e6-b35bd2d46c6e,B2JDAG,600,m,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_bear_shoes_new.webm,,,"""hippo""",,Order1,6,test_trial,commonground,cg_bear,bear,put-on,shoes,room,The bear put on the shoes,commonground,PUT-ON SHOES ,BEAR ROOM,[points at screen] unintelligible HIPPO,n,n,n,n,n,n,n,y,,
sienna/lia,0813addf-35ee-4108-93e6-b35bd2d46c6e,B2JDAG,600,m,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_baby_milk_juice.webm,,,uh oh,,Order1,7,test_trial,agentpatient,ap_drink,baby,drink,milk,juice,The baby drank the milk,patient_ambig,DRINK MILK ,BABY JUICE,SEE; UH OH,n,n,n,n,n,n,n,y,,
sienna/lia,0813addf-35ee-4108-93e6-b35bd2d46c6e,B2JDAG,600,m,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_cat_dog_banana.webm,,,uh oh,,Order1,8,test_trial,agentpatient,ap_eat,cat,eat,banana,dog,The cat ate the banana,agent_ambig,CAT EAT,BANANA DOG,unintelligible; UH OH,n,n,n,n,n,n,n,y,,
sienna/lia,0a54916c-eaaa-4e22-ac23-d3171494e32b,W6NUB3,450,m,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_bunny.png,,,da,,Order1,1,train_1,NA,train_bunny,bunny,NA,NA,NA,It is a bunny,NA,BUNNY,NA,unintelligible [mom says it's a bunny],n,n,NA,NA,NA,n,n,y,,
sienna/lia,0a54916c-eaaa-4e22-ac23-d3171494e32b,W6NUB3,450,m,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_car_red.png,,,da,,Order1,2,train_2,NA,train_car,car,NA,NA,NA,It is a car,NA,CAR,NA,unintelligible [mom says it's a car],n,n,NA,NA,NA,n,n,y,,
sienna/lia,0a54916c-eaaa-4e22-ac23-d3171494e32b,W6NUB3,450,m,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_duck_ball_new.webm,,,duh na ba da,,Order1,3,test_trial,commonground,cg_duck,duck,bounce,ball,lake,The ball bounced by the lake,commonground,BALL BOUNCE,DUCK LAKE,unintelligible,n,n,n,n,n,n,n,y,,
sienna/lia,0a54916c-eaaa-4e22-ac23-d3171494e32b,W6NUB3,450,m,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_bird_baby_juice.webm,,,da mm bah da mm aaa bah,,Order1,4,test_trial,agentpatient,ap_drink,bird,drink,juice,baby,The bird drank the juice,agent_ambig,BIRD DRINK,JUICE BABY,unintelligible,n,n,n,n,n,n,n,y,,
sienna/lia,0a54916c-eaaa-4e22-ac23-d3171494e32b,W6NUB3,450,m,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_dog_apple_banana.webm,,,da buh na na da ada nnn ada,,Order1,5,test_trial,agentpatient,ap_eat,dog,eat,apple,banana,The dog ate the apple,patient_ambig,EAT APPLE ,DOG BANANA,unintelligible,n,n,n,n,n,n,n,y,,
sienna/lia,0a54916c-eaaa-4e22-ac23-d3171494e32b,W6NUB3,450,m,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_bear_shoes_new.webm,,,buh aaaaa buh bah muh aaaaa ,,Order1,6,test_trial,commonground,cg_bear,bear,put-on,shoes,room,The bear put on the shoes,commonground,PUT-ON SHOES ,BEAR ROOM,unintelligible,n,n,n,n,n,n,n,y,,
sienna/lia,0a54916c-eaaa-4e22-ac23-d3171494e32b,W6NUB3,450,m,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_baby_milk_juice.webm,,,uh muh da uh daaaa ,,Order1,7,test_trial,agentpatient,ap_drink,baby,drink,milk,juice,The baby drank the milk,patient_ambig,DRINK MILK ,BABY JUICE,unintelligible,n,n,n,n,n,n,n,y,,
sienna/lia,0a54916c-eaaa-4e22-ac23-d3171494e32b,W6NUB3,450,m,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_cat_dog_banana.webm,,,da da da uh da da ada,,Order1,8,test_trial,agentpatient,ap_eat,cat,eat,banana,dog,The cat ate the banana,agent_ambig,CAT EAT,BANANA DOG,unintelligible,n,n,n,n,n,n,n,y,,
sienna/lia,2ae67e9e-cbf7-4fee-96d8-28726bcaab0f,d6BGL6,690,f,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_bunny.png,,,itsa cat,,Order1,1,train_1,NA,train_bunny,bunny,NA,NA,NA,It is a bunny,NA,BUNNY,NA,[NA],n,n,NA,NA,NA,n,n,y,,
sienna/lia,2ae67e9e-cbf7-4fee-96d8-28726bcaab0f,d6BGL6,690,f,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_car_red.png,,,itsa baby,,Order1,2,train_2,NA,train_car,car,NA,NA,NA,It is a car,NA,CAR,NA,[NA],n,n,NA,NA,NA,n,n,y,,
sienna/lia,2ae67e9e-cbf7-4fee-96d8-28726bcaab0f,d6BGL6,690,f,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_duck_ball_new.webm,,,itsa ballball,,Order1,3,test_trial,commonground,cg_duck,duck,bounce,ball,lake,The ball bounced by the lake,commonground,BALL BOUNCE,DUCK LAKE,unintelligible,n,n,n,n,n,n,n,y,,
sienna/lia,2ae67e9e-cbf7-4fee-96d8-28726bcaab0f,d6BGL6,690,f,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_bird_baby_juice.webm,,,itsa bird,,Order1,4,test_trial,agentpatient,ap_drink,bird,drink,juice,baby,The bird drank the juice,agent_ambig,BIRD DRINK,JUICE BABY,ITS A BIRD X2,y,y,n,n,n,y,n,y,,
sienna/lia,2ae67e9e-cbf7-4fee-96d8-28726bcaab0f,d6BGL6,690,f,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_dog_apple_banana.webm,,,"ate the apple, ate the apple, the dog dog ",,Order1,5,test_trial,agentpatient,ap_eat,dog,eat,apple,banana,The dog ate the apple,patient_ambig,EAT APPLE ,DOG BANANA,unintelligible,n,n,n,n,n,n,n,y,,
sienna/lia,2ae67e9e-cbf7-4fee-96d8-28726bcaab0f,d6BGL6,690,f,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_bear_shoes_new.webm,,,whered it go? whered it go?,,Order1,6,test_trial,commonground,cg_bear,bear,put-on,shoes,room,The bear put on the shoes,commonground,PUT-ON SHOES ,BEAR ROOM,"[fussy, mom says nono word]",n,n,n,n,n,n,n,n,fussy,
sienna/lia,2ae67e9e-cbf7-4fee-96d8-28726bcaab0f,d6BGL6,690,f,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_baby_milk_juice.webm,,,"baby, gibberish, baby",,Order1,7,test_trial,agentpatient,ap_drink,baby,drink,milk,juice,The baby drank the milk,patient_ambig,DRINK MILK ,BABY JUICE,"unintelligible, [mom says nono words], unintelligible",n,n,n,n,n,n,n,y,,
sienna/lia,2ae67e9e-cbf7-4fee-96d8-28726bcaab0f,d6BGL6,690,f,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_cat_dog_banana.webm,,,whered it go? whered it go? da puppy,,Order1,8,test_trial,agentpatient,ap_eat,cat,eat,banana,dog,The cat ate the banana,agent_ambig,CAT EAT,BANANA DOG,unintelligible,n,n,n,n,n,n,n,y,,
sienna/lia,328a23ed-c1e3-4fab-9e6b-e82d18f1a8b5,BS454Y,480,f,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_bunny.png,,,nothing,,Order1,1,train_1,NA,train_bunny,bunny,NA,NA,NA,It is a bunny,NA,BUNNY,NA,unintelligible BUBUBU,n,n,NA,NA,NA,n,n,y,,
sienna/lia,328a23ed-c1e3-4fab-9e6b-e82d18f1a8b5,BS454Y,480,f,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_car_red.png,,,nothing,,Order1,2,train_2,NA,train_car,car,NA,NA,NA,It is a car,NA,CAR,NA,unintelligible,n,n,NA,NA,NA,n,n,y,,
sienna/lia,328a23ed-c1e3-4fab-9e6b-e82d18f1a8b5,BS454Y,480,f,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_duck_ball_new.webm,,,nothing,,Order1,3,test_trial,commonground,cg_duck,duck,bounce,ball,lake,The ball bounced by the lake,commonground,BALL BOUNCE,DUCK LAKE,[NA],n,n,n,n,n,n,n,y,,
sienna/lia,328a23ed-c1e3-4fab-9e6b-e82d18f1a8b5,BS454Y,480,f,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_bird_baby_juice.webm,,,nothing,,Order1,4,test_trial,agentpatient,ap_drink,bird,drink,juice,baby,The bird drank the juice,agent_ambig,BIRD DRINK,JUICE BABY,[NA],n,n,n,n,n,n,n,y,,
sienna/lia,328a23ed-c1e3-4fab-9e6b-e82d18f1a8b5,BS454Y,480,f,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_dog_apple_banana.webm,,,"child provided ASL sign for ""all done"" but did not say any words",,Order1,5,test_trial,agentpatient,ap_eat,dog,eat,apple,banana,The dog ate the apple,patient_ambig,EAT APPLE ,DOG BANANA,[NA],n,n,n,n,n,n,n,y,,
sienna/lia,328a23ed-c1e3-4fab-9e6b-e82d18f1a8b5,BS454Y,480,f,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_bear_shoes_new.webm,,,"child provided ASL sign for ""all done"" but did not say any words",,Order1,6,test_trial,commonground,cg_bear,bear,put-on,shoes,room,The bear put on the shoes,commonground,PUT-ON SHOES ,BEAR ROOM,[NA],n,n,n,n,n,n,n,y,,
sienna/lia,328a23ed-c1e3-4fab-9e6b-e82d18f1a8b5,BS454Y,480,f,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_baby_milk_juice.webm,,,nothing,,Order1,7,test_trial,agentpatient,ap_drink,baby,drink,milk,juice,The baby drank the milk,patient_ambig,DRINK MILK ,BABY JUICE,[NA],n,n,n,n,n,n,n,y,,
sienna/lia,328a23ed-c1e3-4fab-9e6b-e82d18f1a8b5,BS454Y,480,f,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_cat_dog_banana.webm,,,nothing,,Order1,8,test_trial,agentpatient,ap_eat,cat,eat,banana,dog,The cat ate the banana,agent_ambig,CAT EAT,BANANA DOG,unintelligible,n,n,n,n,n,n,n,y,,
sienna/lia,4c06f484-fa39-4cd0-94e1-d4d6c377c661,SCF4EB,660,f,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_bunny.png,,,bunny,,Order1,1,train_1,NA,train_bunny,bunny,NA,NA,NA,It is a bunny,NA,BUNNY,NA,BUNNY,y,y,NA,NA,NA,y,n,y,,
sienna/lia,4c06f484-fa39-4cd0-94e1-d4d6c377c661,SCF4EB,660,f,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_car_red.png,,,car,,Order1,2,train_2,NA,train_car,car,NA,NA,NA,It is a car,NA,CAR,NA,CAR,y,y,NA,NA,NA,y,n,y,,
sienna/lia,4c06f484-fa39-4cd0-94e1-d4d6c377c661,SCF4EB,660,f,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_duck_ball_new.webm,,,Red,,Order1,3,test_trial,commonground,cg_duck,duck,bounce,ball,lake,The ball bounced by the lake,commonground,BALL BOUNCE,DUCK LAKE,WENT,n,n,n,n,n,n,n,y,,
sienna/lia,4c06f484-fa39-4cd0-94e1-d4d6c377c661,SCF4EB,660,f,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_bird_baby_juice.webm,,,turn off,,Order1,4,test_trial,agentpatient,ap_drink,bird,drink,juice,baby,The bird drank the juice,agent_ambig,BIRD DRINK,JUICE BABY,unintelligible; TURN OFF,n,n,n,n,n,n,n,n,inattentive/fussy,
sienna/lia,4c06f484-fa39-4cd0-94e1-d4d6c377c661,SCF4EB,660,f,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_dog_apple_banana.webm,,,this red,,Order1,5,test_trial,agentpatient,ap_eat,dog,eat,apple,banana,The dog ate the apple,patient_ambig,EAT APPLE ,DOG BANANA,OFF; THIS,n,n,n,n,n,n,n,n,inattentive/fussy,
sienna/lia,4c06f484-fa39-4cd0-94e1-d4d6c377c661,SCF4EB,660,f,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_bear_shoes_new.webm,,,red,,Order1,6,test_trial,commonground,cg_bear,bear,put-on,shoes,room,The bear put on the shoes,commonground,PUT-ON SHOES ,BEAR ROOM,unintelligible; TURN IT OFF,n,n,n,n,n,n,n,n,inattentive/fussy,
sienna/lia,4c06f484-fa39-4cd0-94e1-d4d6c377c661,SCF4EB,660,f,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_baby_milk_juice.webm,,,turn off,,Order1,7,test_trial,agentpatient,ap_drink,baby,drink,milk,juice,The baby drank the milk,patient_ambig,DRINK MILK ,BABY JUICE,unintelligible; OFF,n,n,n,n,n,n,n,n,inattentive/fussy,
sienna/lia,4c06f484-fa39-4cd0-94e1-d4d6c377c661,SCF4EB,660,f,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_cat_dog_banana.webm,,,turn it off,,Order1,8,test_trial,agentpatient,ap_eat,cat,eat,banana,dog,The cat ate the banana,agent_ambig,CAT EAT,BANANA DOG,"OFF, OFF; TURN IT OFF",n,n,n,n,n,n,n,n,inattentive/fussy,
sienna/lia,72c1530d-f4a1-49e9-8784-7939a9476bad,ZQcYXT,540,f,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_bunny.png,,,"""nothing""",,Order1,,train_1,NA,train_bunny,bunny,NA,NA,NA,It is a bunny,NA,BUNNY,NA,[NA],n,n,NA,NA,NA,n,n,y,,
sienna/lia,72c1530d-f4a1-49e9-8784-7939a9476bad,ZQcYXT,540,f,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_car_red.png,,,"""nothing""",,Order1,,train_2,NA,train_car,car,NA,NA,NA,It is a car,NA,CAR,NA,[NA],n,n,NA,NA,NA,n,n,y,,
sienna/lia,72c1530d-f4a1-49e9-8784-7939a9476bad,ZQcYXT,540,f,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_duck_ball_new.webm,,,"""iiihh""",,Order1,,test_trial,commonground,cg_duck,duck,bounce,ball,lake,The ball bounced by the lake,commonground,BALL BOUNCE,DUCK LAKE,[NA],n,n,n,n,n,n,n,y,,
sienna/lia,72c1530d-f4a1-49e9-8784-7939a9476bad,ZQcYXT,540,f,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_bird_baby_juice.webm,,,"""nothing"" but pointed to screen ",,Order1,,test_trial,agentpatient,ap_drink,bird,drink,juice,baby,The bird drank the juice,agent_ambig,BIRD DRINK,JUICE BABY,[points at screen],n,n,n,n,n,n,n,y,,
sienna/lia,72c1530d-f4a1-49e9-8784-7939a9476bad,ZQcYXT,540,f,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_dog_apple_banana.webm,,,dah bah bah,,Order1,,test_trial,agentpatient,ap_eat,dog,eat,apple,banana,The dog ate the apple,patient_ambig,EAT APPLE ,DOG BANANA,[points at screen] unintelligible,n,n,n,n,n,n,n,y,,
sienna/lia,72c1530d-f4a1-49e9-8784-7939a9476bad,ZQcYXT,540,f,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_bear_shoes_new.webm,,,wah oihh oihh,,Order1,,test_trial,commonground,cg_bear,bear,put-on,shoes,room,The bear put on the shoes,commonground,PUT-ON SHOES ,BEAR ROOM,[points at screen] unintelligible,n,n,n,n,n,n,n,y,,
sienna/lia,72c1530d-f4a1-49e9-8784-7939a9476bad,ZQcYXT,540,f,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_baby_milk_juice.webm,,,babbled only vowel sounds,,Order1,,test_trial,agentpatient,ap_drink,baby,drink,milk,juice,The baby drank the milk,patient_ambig,DRINK MILK ,BABY JUICE,[points at screen],n,n,n,n,n,n,n,y,,
sienna/lia,72c1530d-f4a1-49e9-8784-7939a9476bad,ZQcYXT,540,f,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_cat_dog_banana.webm,,,duh dah dah dah dah dat,,Order1,,test_trial,agentpatient,ap_eat,cat,eat,banana,dog,The cat ate the banana,agent_ambig,CAT EAT,BANANA DOG,[points at screen] unintelligible,n,n,n,n,n,n,n,y,,
sienna/lia,919a8936-fe24-4344-86ac-cbcd8056c817,XYHR5A,630,m,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_bunny.png,,,meow meow meow,,Order1,1,train_1,NA,train_bunny,bunny,NA,NA,NA,It is a bunny,NA,BUNNY,NA,MEOW MEOW,y,y,NA,NA,NA,y,n,y,,
sienna/lia,919a8936-fe24-4344-86ac-cbcd8056c817,XYHR5A,630,m,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_car_red.png,,,car car go car,,Order1,2,train_2,NA,train_car,car,NA,NA,NA,It is a car,NA,CAR,NA,[glitchy video],n,n,NA,NA,NA,n,n,n,glitchy video,
sienna/lia,919a8936-fe24-4344-86ac-cbcd8056c817,XYHR5A,630,m,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_duck_ball_new.webm,,,knock knock,,Order1,3,test_trial,commonground,cg_duck,duck,bounce,ball,lake,The ball bounced by the lake,commonground,BALL BOUNCE,DUCK LAKE,NA NA,n,n,n,n,n,n,n,y,,
sienna/lia,919a8936-fe24-4344-86ac-cbcd8056c817,XYHR5A,630,m,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_bird_baby_juice.webm,,,meow go go,,Order1,4,test_trial,agentpatient,ap_drink,bird,drink,juice,baby,The bird drank the juice,agent_ambig,BIRD DRINK,JUICE BABY,BYE; unintelligible,n,n,n,n,n,n,n,y,,
sienna/lia,919a8936-fe24-4344-86ac-cbcd8056c817,XYHR5A,630,m,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_dog_apple_banana.webm,,,apple purple,,Order1,5,test_trial,agentpatient,ap_eat,dog,eat,apple,banana,The dog ate the apple,patient_ambig,EAT APPLE ,DOG BANANA,[child goes out of frame],n,n,n,n,n,n,n,n,inattentive/fussy,
sienna/lia,919a8936-fe24-4344-86ac-cbcd8056c817,XYHR5A,630,m,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_bear_shoes_new.webm,,,"pointed to foot, grr, de doo (thank you)",,Order1,6,test_trial,commonground,cg_bear,bear,put-on,shoes,room,The bear put on the shoes,commonground,PUT-ON SHOES ,BEAR ROOM,[glitchy video],n,n,n,n,n,n,n,n,glitchy video,
sienna/lia,919a8936-fe24-4344-86ac-cbcd8056c817,XYHR5A,630,m,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_baby_milk_juice.webm,,,oooh baby baby baby,,Order1,7,test_trial,agentpatient,ap_drink,baby,drink,milk,juice,The baby drank the milk,patient_ambig,DRINK MILK ,BABY JUICE,[glitchy video],n,n,n,n,n,n,n,n,glitchy video,
sienna/lia,919a8936-fe24-4344-86ac-cbcd8056c817,XYHR5A,630,m,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_cat_dog_banana.webm,,,angry noises but no words,,Order1,8,test_trial,agentpatient,ap_eat,cat,eat,banana,dog,The cat ate the banana,agent_ambig,CAT EAT,BANANA DOG,[child tries to leave],n,n,n,n,n,n,n,n,inattentive/fussy,
sienna/lia,a2b16e10-f767-4118-8f66-c91f49adae25,UDCJV6,600,f,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_bunny.png,,,meme,,Order1,1,train_1,NA,train_bunny,bunny,NA,NA,NA,It is a bunny,NA,BUNNY,NA,"YA unintelligible [mom says, ""Bunny, say bunny.""] unintelligible",n,n,NA,NA,NA,n,n,y,,
sienna/lia,a2b16e10-f767-4118-8f66-c91f49adae25,UDCJV6,600,f,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_car_red.png,,,row,,Order1,2,train_2,NA,train_car,car,NA,NA,NA,It is a car,NA,CAR,NA,[points as screen] ROW,n,n,NA,NA,NA,n,n,y,,
sienna/lia,a2b16e10-f767-4118-8f66-c91f49adae25,UDCJV6,600,f,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_duck_ball_new.webm,,,nothing,,Order1,3,test_trial,commonground,cg_duck,duck,bounce,ball,lake,The ball bounced by the lake,commonground,BALL BOUNCE,DUCK LAKE,[points at screen],n,n,n,n,n,n,n,y,,
sienna/lia,a2b16e10-f767-4118-8f66-c91f49adae25,UDCJV6,600,f,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_bird_baby_juice.webm,,,"nothing, ""yeah""",,Order1,4,test_trial,agentpatient,ap_drink,bird,drink,juice,baby,The bird drank the juice,agent_ambig,BIRD DRINK,JUICE BABY,[points at screen] YA [points at screen] YA,n,n,n,n,n,n,n,y,,
